,capac_J,fixed_cost_J
1,2000,189600
2,2000,244500
3,2000,78700
4,2000,58000
5,2000,49400
6,2000,189400
7,2000,25600
8,2000,78800
9,2000,77100
10,2000,49700
11,2000,259100
12,2000,54700
13,2000,60800
14,2000,298900
15,2000,62900
16,2000,66000
17,2000,53500
18,2000,55700
19,2000,123900
20,2000,161400
21,2000,137900
22,2000,58500
23,2000,40900
24,2000,69600
25,2000,74400
26,2000,79000
27,2000,72600
28,2000,59900
29,2000,54900
30,2000,59200
31,2000,56100
32,2000,222900
33,2000,66800
34,2000,50700
35,2000,81300
36,2000,71200
37,2000,96500
38,2000,85900
39,2000,177400
40,2000,41200
41,2000,115800
42,2000,71700
43,2000,60500
44,2000,61900
45,2000,79200
46,2000,80300
47,2000,54600
48,2000,48900
49,2000,46700
50,2000,56700
51,2000,70900
52,2000,67900
53,2000,96600
54,2000,66600
55,2000,54600
56,2000,49500
57,2000,61700
58,2000,75200
59,2000,62200
60,2000,64200
61,2000,113000
62,2000,67200
63,2000,133800
64,2000,48400
65,2000,67700
66,2000,72400
67,2000,48800
68,2000,60300
69,2000,59200
70,2000,101800
71,2000,72600
72,2000,71300
73,2000,66100
74,2000,99000
75,2000,38400
76,2000,68700
77,2000,67900
78,2000,99300
79,2000,112400
80,2000,61500
81,2000,77800
82,2000,138500
83,2000,88700
84,2000,61500
85,2000,63200
86,2000,79500
87,2000,59500
88,2000,94100
